,0
2003-08-25,10400.0
2003-08-26,-17000.0
2003-08-27,-6400.0
2003-08-28,0.0
2003-08-29,24000.0
2003-09-01,9800.0
2003-09-02,7600.0
2003-09-03,-16000.0
2003-09-04,-4200.0
2003-09-05,5800.0
2003-09-08,14000.0
2003-09-09,-8800.0
2003-09-10,-11400.0
2003-09-12,2800.0
2003-09-15,-2800.0
2003-09-16,12800.0
2003-09-17,9000.0
2003-09-18,-400.0
2003-09-19,-2000.0
2003-09-22,-10800.0
2003-09-23,3800.0
2003-09-24,6200.0
2003-09-25,-11400.0
2003-09-26,-200.0
2003-09-29,-4400.0
2003-09-30,-4800.0
2003-10-01,-2200.0
2003-10-02,18000.0
2003-10-03,4400.0
2003-10-06,17400.0
2003-10-07,5200.0
2003-10-08,-4200.0
2003-10-09,12000.0
2003-10-13,26800.0
2003-10-14,-9800.0
2003-10-15,-5800.0
2003-10-16,22000.0
2003-10-17,4000.0
2003-10-20,-1600.0
2003-10-21,400.0
2003-10-22,-4600.0
2003-10-23,-21200.0
2003-10-24,2600.0
2003-10-27,8400.0
2003-10-28,26000.0
2003-10-29,6000.0
2003-10-30,-5200.0
2003-10-31,-13200.0
2003-11-03,16400.0
2003-11-04,-1200.0
2003-11-05,4200.0
2003-11-06,-38000.0
2003-11-07,16800.0
2003-11-10,-2000.0
2003-11-11,-1800.0
2003-11-12,-6200.0
2003-11-13,12600.0
2003-11-14,-2800.0
2003-11-17,-16000.0
2003-11-18,1400.0
2003-11-19,-24000.0
2003-11-20,6600.0
2003-11-21,-7200.0
2003-11-24,-2400.0
2003-11-25,7600.0
2003-11-26,3200.0
2003-11-27,-17200.0
2003-11-28,-2000.0
2003-12-01,21200.0
2003-12-02,3200.0
2003-12-03,-4400.0
2003-12-04,5200.0
2003-12-05,-6000.0
2003-12-08,-11400.0
2003-12-09,5200.0
2003-12-10,-8600.0
2003-12-11,12000.0
2003-12-12,-1000.0
2003-12-15,16600.0
2003-12-16,-13400.0
2003-12-17,-30200.0
2003-12-18,6000.0
2003-12-19,4000.0
2003-12-22,7600.0
2003-12-23,0.0
2003-12-24,5200.0
2003-12-25,-800.0
2003-12-26,1400.0
2003-12-29,-6200.0
2003-12-30,10800.0
2003-12-31,2600.0
2004-01-02,30600.0
2004-01-05,17600.0
2004-01-06,3200.0
2004-01-07,2800.0
2004-01-08,7400.0
2004-01-09,11800.0
2004-01-12,1000.0
2004-01-13,-4200.0
2004-01-14,14200.0
2004-01-15,-5000.0
2004-01-16,-3000.0
2004-01-27,17000.0
2004-01-28,-600.0
2004-01-29,-7200.0
2004-01-30,10000.0
2004-02-02,-10200.0
2004-02-03,-14200.0
2004-02-04,-4800.0
2004-02-05,10000.0
2004-02-06,16000.0
2004-02-09,21000.0
2004-02-10,1000.0
2004-02-11,-3400.0
2004-02-12,-3600.0
2004-02-13,25000.0
2004-02-16,1200.0
2004-02-17,8800.0
2004-02-18,0.0
2004-02-19,20200.0
2004-02-20,-4000.0
2004-02-23,1400.0
2004-02-24,-12000.0
2004-02-25,8400.0
2004-02-26,10000.0
2004-02-27,13400.0
2004-03-01,33200.0
2004-03-02,17400.0
2004-03-03,-8600.0
2004-03-04,27600.0
2004-03-05,-15000.0
2004-03-08,-19200.0
2004-03-09,14400.0
2004-03-10,-24200.0
2004-03-11,-1600.0
2004-03-12,-23000.0
2004-03-15,-48800.0
2004-03-16,-1600.0
2004-03-17,2000.0
2004-03-18,56000.0
2004-03-19,-3000.0
2004-03-22,-95600.0
2004-03-23,-59400.0
2004-03-24,25000.0
2004-03-25,-9000.0
2004-03-26,-2000.0
2004-03-29,69200.0
2004-03-30,3200.0
2004-03-31,-1400.0
2004-04-01,-1800.0
2004-04-02,4400.0
2004-04-05,39800.0
2004-04-06,-6400.0
2004-04-07,1000.0
2004-04-08,3200.0
2004-04-09,-11200.0
2004-04-12,35000.0
2004-04-13,4600.0
2004-04-14,19400.0
2004-04-15,-34200.0
2004-04-16,15800.0
2004-04-19,-3800.0
2004-04-20,6000.0
2004-04-21,-3000.0
2004-04-22,-21200.0
2004-04-23,6400.0
2004-04-26,-6000.0
2004-04-27,-8000.0
2004-04-28,-15000.0
2004-04-29,-41200.0
2004-04-30,-75800.0
2004-05-03,-600.0
2004-05-04,23200.0
2004-05-05,-81600.0
2004-05-06,24800.0
2004-05-07,26000.0
2004-05-10,-45600.0
2004-05-11,21400.0
2004-05-12,16800.0
2004-05-13,-10400.0
2004-05-14,-29000.0
2004-05-17,-77400.0
2004-05-18,33000.0
2004-05-19,73600.0
2004-05-20,-41200.0
2004-05-21,31000.0
2004-05-24,6200.0
2004-05-25,-6000.0
2004-05-26,29800.0
2004-05-27,2200.0
2004-05-28,8400.0
2004-05-31,-23000.0
2004-06-01,-4400.0
2004-06-02,-23200.0
2004-06-03,-42000.0
2004-06-04,5400.0
2004-06-07,56600.0
2004-06-08,18200.0
2004-06-09,-4200.0
